name	seed	color
surface-manager	1521	#aa97da
tde	317	#c0555f
terminalmanager	1591	#97779a
tts	347	#bfbcbb
ttx_mw	675	#b19c51
tvReservationAgent	1899	#9b6962
tv_subtitle	1205	#a6192d
tv_teletext	1208	#a60790
tvlinkcmd	972	#b6730e
tvpowerd	891	#b34304
umi	331	#bf5ecc
ums.client	1026	#a3b0be
ums.default	1128	#a1426f
ums.pipeline_ctrl	1773	#9856b2
ums.pipeline_mgr	1662	#95d6c6
ums.process_ctrl	1686	#9b28cd
ums.resource_mgr	1680	#9b348b
ums.resource_mgr_client	2414	#ed88b9
ums.server	1050	#a3dfb5
undefined.globalPlugin	2240	#eb8fd5
uploadd	745	#afe9e1
upnpd	551	#ae955f
val-starfish	1236	#a5632e
videooutputd	1324	#a8819c
voice	534	#afb50b
voiceinput	1094	#a22186
vt.info	708	#b0c319
wam.log	693	#b1d707
wayland	752	#b07ca6
webos-bluetooth-service	2369	#ee796d
webos-connman-adapter	2117	#e88304
webos-preload-manager	2108	#e973b8
